Step,Sequence,Combination Value
409,"[ 0 5 -10 -10 0 -1 ]",-16
410,"[ 0 5 -10 -10 0 0 ]",-15
411,"[ 0 5 -10 -10 0 1 ]",-14
412,"[ 0 5 -10 -10 5 -1 ]",-11
413,"[ 0 5 -10 -10 5 0 ]",-10
414,"[ 0 5 -10 -10 5 1 ]",-9
415,"[ 0 5 -10 0 -5 -1 ]",-11
416,"[ 0 5 -10 0 -5 0 ]",-10
417,"[ 0 5 -10 0 -5 1 ]",-9
418,"[ 0 5 -10 0 0 -1 ]",-6
419,"[ 0 5 -10 0 0 0 ]",-5
420,"[ 0 5 -10 0 0 1 ]",-4
421,"[ 0 5 -10 0 5 -1 ]",-1
422,"[ 0 5 -10 0 5 0 ]",0
423,"[ 0 5 -10 0 5 1 ]",1
424,"[ 0 5 -10 10 -5 -1 ]",-1
425,"[ 0 5 -10 10 -5 0 ]",0
426,"[ 0 5 -10 10 -5 1 ]",1
427,"[ 0 5 -10 10 0 -1 ]",4
428,"[ 0 5 -10 10 0 0 ]",5
429,"[ 0 5 -10 10 0 1 ]",6
430,"[ 0 5 -10 10 5 -1 ]",9
431,"[ 0 5 -10 10 5 0 ]",10
432,"[ 0 5 -10 10 5 1 ]",11
433,"[ 0 5 0 -10 -5 -1 ]",-11
434,"[ 0 5 0 -10 -5 0 ]",-10
435,"[ 0 5 0 -10 -5 1 ]",-9
436,"[ 0 5 0 -10 0 -1 ]",-6
437,"[ 0 5 0 -10 0 0 ]",-5
438,"[ 0 5 0 -10 0 1 ]",-4
439,"[ 0 5 0 -10 5 -1 ]",-1
440,"[ 0 5 0 -10 5 0 ]",0
441,"[ 0 5 0 -10 5 1 ]",1
442,"[ 0 5 0 0 -5 -1 ]",-1
443,"[ 0 5 0 0 -5 0 ]",0
444,"[ 0 5 0 0 -5 1 ]",1
445,"[ 0 5 0 0 0 -1 ]",4
446,"[ 0 5 0 0 0 0 ]",5
447,"[ 0 5 0 0 0 1 ]",6
448,"[ 0 5 0 0 5 -1 ]",9
449,"[ 0 5 0 0 5 0 ]",10
450,"[ 0 5 0 0 5 1 ]",11
451,"[ 0 5 0 10 -5 -1 ]",9
452,"[ 0 5 0 10 -5 0 ]",10
453,"[ 0 5 0 10 -5 1 ]",11
454,"[ 0 5 0 10 0 -1 ]",14
455,"[ 0 5 0 10 0 0 ]",15
456,"[ 0 5 0 10 0 1 ]",16
457,"[ 0 5 0 10 5 -1 ]",19
458,"[ 0 5 0 10 5 0 ]",20
459,"[ 0 5 0 10 5 1 ]",21
460,"[ 0 5 10 -10 -5 -1 ]",-1
461,"[ 0 5 10 -10 -5 0 ]",0
462,"[ 0 5 10 -10 -5 1 ]",1
463,"[ 0 5 10 -10 0 -1 ]",4
464,"[ 0 5 10 -10 0 0 ]",5
465,"[ 0 5 10 -10 0 1 ]",6
466,"[ 0 5 10 -10 5 -1 ]",9
467,"[ 0 5 10 -10 5 0 ]",10
468,"[ 0 5 10 -10 5 1 ]",11
469,"[ 0 5 10 0 -5 -1 ]",9
470,"[ 0 5 10 0 -5 0 ]",10
471,"[ 0 5 10 0 -5 1 ]",11
472,"[ 0 5 10 0 0 -1 ]",14
473,"[ 0 5 10 0 0 0 ]",15
474,"[ 0 5 10 0 0 1 ]",16
475,"[ 0 5 10 0 5 -1 ]",19
476,"[ 0 5 10 0 5 0 ]",20
477,"[ 0 5 10 0 5 1 ]",21
478,"[ 0 5 10 10 -5 -1 ]",19
479,"[ 0 5 10 10 -5 0 ]",20
480,"[ 0 5 10 10 -5 1 ]",21
481,"[ 0 5 10 10 0 -1 ]",24
482,"[ 0 5 10 10 0 0 ]",25
483,"[ 0 5 10 10 0 1 ]",26
484,"[ 0 5 10 10 5 -1 ]",29
485,"[ 0 5 10 10 5 0 ]",30
486,"[ 0 5 10 10 5 1 ]",31
487,"[ 1 -5 -10 -10 -5 -1 ]",-30
488,"[ 1 -5 -10 -10 -5 0 ]",-29
489,"[ 1 -5 -10 -10 -5 1 ]",-28
490,"[ 1 -5 -10 -10 0 -1 ]",-25
491,"[ 1 -5 -10 -10 0 0 ]",-24
492,"[ 1 -5 -10 -10 0 1 ]",-23
493,"[ 1 -5 -10 -10 5 -1 ]",-20
494,"[ 1 -5 -10 -10 5 0 ]",-19
495,"[ 1 -5 -10 -10 5 1 ]",-18
496,"[ 1 -5 -10 0 -5 -1 ]",-20
497,"[ 1 -5 -10 0 -5 0 ]",-19
498,"[ 1 -5 -10 0 -5 1 ]",-18
499,"[ 1 -5 -10 0 0 -1 ]",-15
500,"[ 1 -5 -10 0 0 0 ]",-14
501,"[ 1 -5 -10 0 0 1 ]",-13
502,"[ 1 -5 -10 0 5 -1 ]",-10
503,"[ 1 -5 -10 0 5 0 ]",-9
504,"[ 1 -5 -10 0 5 1 ]",-8
505,"[ 1 -5 -10 10 -5 -1 ]",-10
506,"[ 1 -5 -10 10 -5 0 ]",-9
507,"[ 1 -5 -10 10 -5 1 ]",-8
508,"[ 1 -5 -10 10 0 -1 ]",-5
509,"[ 1 -5 -10 10 0 0 ]",-4
510,"[ 1 -5 -10 10 0 1 ]",-3
511,"[ 1 -5 -10 10 5 -1 ]",0
512,"[ 1 -5 -10 10 5 0 ]",1
513,"[ 1 -5 -10 10 5 1 ]",2
514,"[ 1 -5 0 -10 -5 -1 ]",-20
515,"[ 1 -5 0 -10 -5 0 ]",-19
516,"[ 1 -5 0 -10 -5 1 ]",-18
517,"[ 1 -5 0 -10 0 -1 ]",-15
518,"[ 1 -5 0 -10 0 0 ]",-14
519,"[ 1 -5 0 -10 0 1 ]",-13
520,"[ 1 -5 0 -10 5 -1 ]",-10
521,"[ 1 -5 0 -10 5 0 ]",-9
522,"[ 1 -5 0 -10 5 1 ]",-8
523,"[ 1 -5 0 0 -5 -1 ]",-10
524,"[ 1 -5 0 0 -5 0 ]",-9
525,"[ 1 -5 0 0 -5 1 ]",-8
526,"[ 1 -5 0 0 0 -1 ]",-5
527,"[ 1 -5 0 0 0 0 ]",-4
528,"[ 1 -5 0 0 0 1 ]",-3
529,"[ 1 -5 0 0 5 -1 ]",0
530,"[ 1 -5 0 0 5 0 ]",1
531,"[ 1 -5 0 0 5 1 ]",2
532,"[ 1 -5 0 10 -5 -1 ]",0
533,"[ 1 -5 0 10 -5 0 ]",1
534,"[ 1 -5 0 10 -5 1 ]",2
535,"[ 1 -5 0 10 0 -1 ]",5
536,"[ 1 -5 0 10 0 0 ]",6
537,"[ 1 -5 0 10 0 1 ]",7
538,"[ 1 -5 0 10 5 -1 ]",10
539,"[ 1 -5 0 10 5 0 ]",11
540,"[ 1 -5 0 10 5 1 ]",12
541,"[ 1 -5 10 -10 -5 -1 ]",-10
542,"[ 1 -5 10 -10 -5 0 ]",-9
543,"[ 1 -5 10 -10 -5 1 ]",-8
544,"[ 1 -5 10 -10 0 -1 ]",-5
545,"[ 1 -5 10 -10 0 0 ]",-4
546,"[ 1 -5 10 -10 0 1 ]",-3
547,"[ 1 -5 10 -10 5 -1 ]",0
548,"[ 1 -5 10 -10 5 0 ]",1
549,"[ 1 -5 10 -10 5 1 ]",2
550,"[ 1 -5 10 0 -5 -1 ]",0
